HH_ID,ResType,ResStatus,HHInc,HHNbr,MWrkHrs,MEdu,FWrkHrs,FEdu,FBirth,F_Rel,MBirth,M_Rel,Cable,Cats,Dogs,YogExp,DinExp,HHIn1,HHIn2,HHIn3,HHIn4,HHIn5,HHIn6,HHIn7,HHIn8,HHIn9,HHIn10,HHIn11,HHIn12,HHIn13,ResType1,ResType2,ResType3,ResType4,ResType5,ResStatus1,ResStatus2,MUndergrad,MGrad,FUndergrad,FGrad,Married,BuyYog,BuyDin,FAge,MAge
1100792,2,1,5,3,0,0,40,8,1958,1,1958,0,1,1,0,182.64,767.52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,30,30
1100818,3,1,9,4,50,10,8,10,1953,1,1949,2,1,0,0,47.72,0.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,35,39
1100859,3,1,3,2,30,8,35,3,1930,1,1924,2,1,1,0,0.00,0.00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,58,64
1100867,3,2,1,1,0,0,0,3,1906,1,1906,0,0,0,0,0.00,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,82,82
1100875,3,1,11,4,40,6,25,8,1953,1,1944,2,1,0,1,28.03,0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,35,44
1100883,1,2,3,1,0,0,0,5,1918,1,1918,0,1,0,0,11.66,0.00,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,70,70
1100891,5,2,2,1,0,7,0,0,1957,0,1957,2,1,1,0,0.00,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,31,31
1100966,3,1,7,3,60,7,9,4,1944,1,1940,2,0,0,1,238.76,424.56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,44,48
1101014,3,1,12,4,50,7,40,7,1943,1,1943,2,1,0,0,3.06,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,45,45
1101022,3,1,9,2,20,9,35,5,1932,1,1929,2,1,0,0,16.48,0.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,56,59
1101048,3,1,5,5,30,5,40,7,1962,1,1961,2,0,0,1,18.78,0.00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,26,27
1101063,1,2,2,2,30,5,0,5,1915,1,1913,2,1,0,0,0.00,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,73,75
