INSTNM,STABBR,ACCREDAGENCY,MAIN,PREDDEG,CONTROL,LOCALE,CCUGPROF,CCSIZSET,PCTFLOAN,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,LO_INC_RPY_1YR_RT,MD_INC_RPY_1YR_RT,HI_INC_RPY_1YR_RT,MD_EARN_WNE_P6,COUNT_NWNE_P6,COUNT_WNE_P6
Stephen F Austin State University,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,33,13,16,0.5690,8186,10082,13764,17967,19667,0.332860,0.462209,0.659574,34800.00,264,3751
Texas State University,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,23,13,15,0.5312,11648,11768,15031,20460,21702,0.426872,0.514491,0.619482,38300.00,596,8151
Southwestern Adventist University,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,31,11,8,0.6133,,,,,,0.356784,0.426752,0.648936,33200.00,38,237
Southwestern Christian College,TX,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,32,10,8,0.4684,,,,,,0.131579,,,15800.00,,
Sul Ross State University,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,33,7,10,0.5041,14361,14382,16558,18162,19634,0.310391,0.402402,0.598425,31300.00,99,812
Tarleton State University,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,33,7,16,0.5632,14421,15771,18499,20260,20362,0.394877,0.525287,0.614739,35900.00,307,3022
Tarrant County College District,TX,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,11,1,5,0.1916,5222,4814,7316,9019,10568,0.186232,0.363242,0.459783,29100.00,1384,8894
Temple College,TX,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,13,1,3,0.2779,3249,3741,6743,10022,9891,0.173427,0.399183,0.490637,26400.00,326,1907
University of Texas Southwestern Medical Center,TX,Southern Association of Colleges and Schools Commission on Colleges,1,4,1,11,0,18,,,,,,,,,,60800.00,,
The University of Texas Health Science Center at San Antonio,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,11,11,9,0.5848,,,,,,0.746667,0.755435,0.900000,62500.00,38,565
The University of Texas Medical Branch at Galveston,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,31,11,10,0.4925,,,,,,0.783186,0.856322,0.878788,68800.00,,
Texarkana College,TX,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,13,1,3,0.1619,5958,6507,7409,11841,12127,0.199105,,,21800.00,216,1060
Texas A & M University-Kingsville,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,32,11,13,0.5167,12209,12985,15738,20520,20801,0.360263,0.490881,0.577465,35800.00,225,2445
Texas A & M University-College Station,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,14,16,0.3190,11319,13189,18720,25188,26916,0.698447,0.777162,0.840017,48600.00,444,8548
The University of Texas at Arlington,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,11,5,16,0.4064,9622,10314,13103,17379,18601,0.444218,0.533025,0.624371,41100.00,583,6664
The University of Texas at Austin,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,11,15,15,0.3598,11374,12371,14906,19869,23958,0.640026,0.723755,0.798739,46000.00,535,7360
