INSTNM,STABBR,ACCREDAGENCY,MAIN,PREDDEG,CONTROL,LOCALE,CCUGPROF,CCSIZSET,PCTFLOAN,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,LO_INC_RPY_1YR_RT,MD_INC_RPY_1YR_RT,HI_INC_RPY_1YR_RT,MD_EARN_WNE_P6,COUNT_NWNE_P6,COUNT_WNE_P6
Alabama A & M University,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,10,14,0.7503,13893,13976,15995,18957,17140,0.141439,0.223270,0.240000,25200.00,94,1304
University of Alabama at Birmingham,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,9,15,0.5127,14550,15379,17892,19978,20110,0.383462,0.469331,0.569082,35100.00,241,2727
Amridge University,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,12,5,6,0.8962,,,,,,0.102102,0.271028,0.500000,30700.00,38,155
University of Alabama in Huntsville,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,15,12,0.4192,17561,18991,21396,23204,23406,0.405088,0.534351,0.638596,36200.00,144,1378
Alabama State University,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,10,14,0.7845,11344,14855,18390,18863,14833,0.114488,0.172762,0.242991,22600.00,157,1754
The University of Alabama,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,14,16,0.3863,18515,20541,22457,24789,25199,0.406479,0.538799,0.668573,37400.00,345,4836
Central Alabama Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,32,2,2,0.2104,2228,2904,5456,8063,7501,0.139978,0.298246,0.447368,23100.00,234,1028
Athens State University,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,31,5,9,0.5079,,,,,,0.340476,0.492119,0.608333,33400.00,140,1245
Auburn University at Montgomery,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,9,13,0.5539,10877,12321,14734,15871,15341,0.296552,0.461659,0.555241,30100.00,137,1354
Auburn University,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,13,14,15,0.3169,18617,20546,23110,26329,27395,0.544735,0.664964,0.769597,39500.00,220,3808
Birmingham-Southern College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,12,14,11,0.4567,,,,,,0.556701,0.772059,0.726804,33400.00,,
Chattahoochee Valley Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,41,2,2,0.2156,1016,1166,4536,6813,7028,0.174497,0.428571,0.514286,22300.00,124,742
South University-Montgomery,AL,Southern Association of Colleges and Schools Commission on Colleges,0,3,3,12,7,6,0.6585,,,,,,0.151209,0.252381,0.438639,26900.00,2704,11327
Enterprise State Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,32,2,2,0.1519,2732,3534,5731,8896,8789,0.261780,0.533074,0.480315,27000.00,198,1092
Coastal Alabama Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,32,2,4,0.2235,4818,5431,8318,10403,10669,0.209354,0.405564,0.496774,23800.00,274,1641
Faulkner University,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,12,7,10,0.5988,,,,,,0.156359,0.337972,0.563265,29700.00,152,1437
Gadsden State Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,13,2,3,0.0000,4153,4562,5660,6475,,,,,21200.00,495,2237
New Beginning College of Cosmetology,AL,National Accrediting Commission of Career Arts and Sciences,1,1,3,32,-2,-2,0.5401,,,,,,0.320513,,,,,
George C Wallace Community College-Dothan,AL,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,13,2,3,0.0000,875,1847,3648,1685,,,,,21400.00,290,1355
George C Wallace State Community College-Hanceville,AL,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,32,2,3,0.3007,5327,5055,7576,9496,9153,0.284341,0.517897,0.612903,26900.00,409,2296
George C Wallace State Community College-Selma,AL,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,32,2,2,0.0000,7060,8913,10051,,,,,,19500.00,193,912
Herzing University-Birmingham,AL,Higher Learning Commission,0,1,2,21,5,6,0.7593,,,,,,0.190260,0.373160,0.557173,27900.00,489,2348
Huntingdon College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,12,8,7,0.7096,,,,,,0.294545,0.504587,0.647059,32600.00,36,468
Heritage Christian University,AL,Association for Bibical Higher Educaiton,1,3,2,13,5,6,0.0345,,,,,,,,,,,
J. F. Drake State Community and Technical College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,12,2,1,0.0000,4711,5239,7953,,,,,,19100.00,120,531
J F Ingram State Technical College,AL,Council on Occupational Education,1,1,1,21,-2,-2,0.0000,3345,,,,,,,,,,
Jacksonville State University,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,13,13,13,0.6428,14370,15885,18742,19894,20050,0.275709,0.397227,0.524854,28700.00,231,2478
Jefferson State Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,12,1,3,0.1826,7739,8328,10889,12221,13144,0.303256,0.490196,0.593458,26900.00,340,1977
John C Calhoun State Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,41,1,4,0.2141,3704,4883,7207,9047,9332,0.232610,0.454728,0.541414,24000.00,479,2930
Judson College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,43,9,7,0.6794,,,,,,0.263158,0.444444,0.636364,22200.00,,
Lawson State Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,12,2,3,0.0000,7262,7050,8419,7628,6832,,,,20000.00,380,1792
University of West Alabama,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,43,11,13,0.6930,12711,14484,14438,15764,15739,0.265226,0.380062,0.523810,26400.00,93,845
Lurleen B Wallace Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,41,2,2,0.0000,7503,7971,10050,9566,7160,,,,22600.00,172,780
Marion Military Institute,AL,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,43,4,1,0.4843,9580,9835,12202,14418,15279,0.462264,0.453488,0.645833,33100.00,,
Miles College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,21,11,11,0.9255,,,,,,0.082949,0.155488,0.162500,20900.00,111,988
University of Mobile,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,41,13,11,0.6473,,,,,,0.226531,0.464000,0.650000,29300.00,46,493
University of Montevallo,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,21,13,11,0.5708,13905,14843,17639,19194,20173,0.342733,0.511429,0.591078,27500.00,87,723
Northwest-Shoals Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,13,2,3,0.1971,5738,7164,9397,11285,11468,0.216216,0.504132,0.557143,23300.00,302,1564
University of North Alabama,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,13,13,13,0.5765,10474,11496,12295,14573,15433,0.368275,0.498054,0.602386,28600.00,165,1542
Northeast Alabama Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,42,2,2,0.0749,2795,2996,4679,6456,5810,0.366316,0.529680,0.600000,23600.00,287,1356
Oakwood University,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,12,10,11,0.6965,,,,,,0.195349,0.240625,0.323232,21800.00,57,501
Reid State Technical College,AL,Council on Occupational Education,1,1,1,41,2,1,0.0000,3365,1021,2204,,,,,,21200.00,92,414
Bishop State Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,12,2,3,0.0000,4110,4678,6214,7477,,,,,19100.00,205,1049
Samford University,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,21,14,14,0.3323,,,,,,0.543478,0.718367,0.794038,37500.00,40,616
Selma University,AL,,1,3,2,32,7,6,0.9325,,,,,,0.064343,,,,,
Shelton State Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,12,2,3,0.0000,6045,6730,8653,8659,,,,,22700.00,283,1748
Snead State Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,32,2,2,0.2176,4434,5161,7285,8671,10073,0.216216,0.508621,0.500000,22400.00,147,805
University of South Alabama,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,13,16,0.5538,10941,11749,15810,19428,19804,0.324969,0.476736,0.590249,31500.00,372,3199
Spring Hill College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,12,12,11,0.7923,,,,,,0.388626,0.524096,0.703125,33600.00,31,388
Stillman College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,12,15,8,0.9232,,,,,,0.126915,0.200000,0.300000,22800.00,55,527
Talladega College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,32,11,8,0.8261,,,,,,0.123260,,,20300.00,39,283
H Councill Trenholm State Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,12,2,2,0.0000,6689,7300,8822,6200,,,,,21800.00,158,734
Troy University,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,33,7,15,0.6253,13119,15233,16068,14781,13934,0.189990,0.373741,0.543064,30400.00,819,6056
Tuskegee University,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,32,10,14,0.4744,,,,,,0.338684,0.424020,0.408333,28500.00,56,823
United States Sports Academy,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,13,5,6,0.5340,,,,,,0.323529,,,33600.00,,
Bevill State Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,32,2,3,0.0000,7483,7540,8834,7902,,,,,23300.00,428,1812
University of Alaska Anchorage,AK,Northwest Commission on Colleges and Universities,1,3,1,11,5,15,0.2243,11410,12337,15338,17458,17373,0.396774,0.551485,0.623550,36000.00,456,2632
Alaska Bible College,AK,Association for Bibical Higher Educaiton,1,3,2,32,10,8,0.3871,,,,,,,,,,,
University of Alaska Fairbanks,AK,Northwest Commission on Colleges and Universities,1,3,1,23,5,13,0.2277,9366,9218,11948,13319,15378,0.386681,0.567407,0.661088,30700.00,206,1138
University of Alaska Southeast,AK,Northwest Commission on Colleges and Universities,1,1,1,33,5,9,0.1922,8200,6877,10223,15124,12876,0.494700,0.519802,0.679104,31500.00,77,351
Alaska Pacific University,AK,Northwest Commission on Colleges and Universities,1,3,2,11,7,7,0.4881,,,,,,0.303797,0.666667,0.673077,33200.00,,
Alaska Vocational Technical Center,AK,Council on Occupational Education,1,1,1,43,-2,-2,0.0185,10018,,,,,0.407407,,,37400.00,,
Charter College,WA,Accrediting Bureau of Health Education Schools,1,1,3,12,10,9,0.7222,,,,,,0.204410,0.338434,0.500000,27700.00,277,1041
Alaska Career College,AK,Accrediting Commission of Career Schools and Colleges,1,1,3,11,4,1,0.8208,,,,,,0.370098,0.639098,0.709091,25300.00,134,468
Empire Beauty School-Tucson,AZ,National Accrediting Commission of Career Arts and Sciences,0,1,3,11,-2,-2,0.5225,,,,,,0.188253,0.300000,0.506329,16200.00,103,387
Carrington College-Phoenix North,AZ,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,3,11,4,2,0.1973,,,,,,0.246131,0.390116,0.542373,25200.00,976,5027
Carrington College-Mesa,AZ,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,0,1,3,11,4,1,0.2820,,,,,,0.246131,0.390116,0.542373,25200.00,976,5027
Carrington College-Tucson,AZ,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,0,1,3,11,-2,-2,0.1771,,,,,,0.246131,0.390116,0.542373,25200.00,976,5027
CollegeAmerica-Flagstaff,AZ,Accrediting Commission of Career Schools and Colleges,1,2,2,13,10,6,0.8205,,,,,,0.058081,,,19500.00,108,403
Arizona Academy of Beauty-East,AZ,National Accrediting Commission of Career Arts and Sciences,1,1,3,11,-2,-2,0.5773,,,,,,0.214286,,,,,
Platt College-Arizona Automotive Institute Arizona,AZ,Accrediting Commission of Career Schools and Colleges,0,1,3,21,-2,-2,0.5948,,,,,,0.108717,0.283582,0.333333,22400.00,367,1121
Brookline College-Phoenix,AZ,Accrediting Bureau of Health Education Schools,1,1,3,11,5,6,0.6965,,,,,,0.138688,0.268248,0.481013,18300.00,564,2113
Arizona State University-Tempe,AZ,Higher Learning Commission,1,3,1,12,15,16,0.3652,7300,8466,13994,16814,18901,0.457477,0.543878,0.642769,38300.00,1505,15223
Arizona Western College,AZ,Higher Learning Commission,1,1,1,13,1,3,0.0188,10101,10752,12517,14004,12157,0.253829,0.408284,0.500000,22100.00,505,2671
University of Arizona,AZ,Higher Learning Commission,1,3,1,11,11,15,0.3749,10234,11307,14756,19862,21208,0.512579,0.609871,0.722361,36900.00,598,6520
Southwest University of Visual Arts-Tucson,AZ,Higher Learning Commission,1,3,3,11,11,6,0.6885,,,,,,0.200000,0.306452,0.384615,25100.00,52,210
Central Arizona College,AZ,Higher Learning Commission,1,1,1,41,1,3,0.0871,4180,3965,4295,5995,6520,0.174242,0.328820,0.396907,24600.00,310,1427
Charles of Italy Beauty College,AZ,National Accrediting Commission of Career Arts and Sciences,1,1,3,13,-2,-2,0.5467,,,,,,0.416667,,,16000.00,35,90
Cochise County Community College District,AZ,Higher Learning Commission,1,2,1,13,1,3,0.0683,6120,6184,8056,10019,,0.294479,0.416667,0.446154,23200.00,242,1059
Empire Beauty School-Flagstaff,AZ,National Accrediting Commission of Career Arts and Sciences,0,1,3,13,-2,-2,0.5484,,,,,,0.188537,0.400000,0.555556,16300.00,115,345
Empire Beauty School-Chandler,AZ,National Accrediting Commission of Career Arts and Sciences,0,1,3,21,-2,-2,0.5439,,,,,,0.188537,0.400000,0.555556,16300.00,115,345
Cortiva Institute-Tucson,AZ,,1,1,3,11,-2,-2,0.8571,,,,,,0.345324,0.537736,0.551724,21400.00,52,168
Avalon School of Cosmetology-Mesa,AZ,National Accrediting Commission of Career Arts and Sciences,1,1,3,11,-2,-2,0.6660,,,,,,0.262422,0.373626,0.491379,18500.00,80,261
Eastern Arizona College,AZ,Higher Learning Commission,1,1,1,33,1,3,0.0000,6795,5881,8496,10057,,,,,24700.00,209,676
Embry-Riddle Aeronautical University-Prescott,AZ,Southern Association of Colleges and Schools Commission on Colleges,0,3,2,41,14,10,0.4735,,,,,,0.468290,0.592437,0.740652,47900.00,190,2947
School of Architecture at Taliesin,AZ,Higher Learning Commission,1,4,2,41,0,18,,,,,,,,,,,,
Glendale Community College,AZ,Higher Learning Commission,1,1,1,21,1,5,0.1072,6432,7162,8759,11193,11625,0.245664,0.395103,0.465812,28600.00,614,3315
Grand Canyon University,AZ,Higher Learning Commission,1,3,3,11,5,15,0.5942,,,,,,0.180469,0.367026,0.619907,28400.00,2978,11512
GateWay Community College,AZ,Higher Learning Commission,1,1,1,11,1,3,0.1535,6550,7293,9031,10187,11310,0.209209,0.356557,0.558824,32800.00,348,1628
Mesa Community College,AZ,Higher Learning Commission,1,1,1,11,1,5,0.1300,6821,7522,9607,11655,12036,0.214395,0.392569,0.463110,29600.00,890,4487
Mohave Community College,AZ,Higher Learning Commission,1,2,1,41,1,2,0.1143,7751,7776,10927,11197,12854,0.239167,0.490667,0.586667,23200.00,788,2146
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,AZ,Accrediting Commission of Career Schools and Colleges,1,1,3,11,-2,-2,0.5116,,,,,,0.283015,0.444969,0.624263,31500.00,1390,8622
Dine College,AZ,Higher Learning Commission,1,2,1,43,7,9,0.0000,7963,9452,10639,,,,,,15800.00,185,574
Northern Arizona University,AZ,Higher Learning Commission,1,3,1,13,11,16,0.4520,10999,11585,13780,17881,19822,0.409357,0.509908,0.632398,34400.00,537,5822
Northland Pioneer College,AZ,Higher Learning Commission,1,1,1,41,1,2,0.0000,8139,8886,13134,,,,,,19700.00,196,616
Ottawa University-Phoenix,AZ,Higher Learning Commission,0,3,2,11,7,6,0.6824,,,,,,0.266796,0.405340,0.565957,36500.00,139,1247
Phoenix College,AZ,Higher Learning Commission,1,1,1,11,1,4,0.1331,6745,7612,8788,11206,11852,0.146456,0.325843,0.379310,26300.00,502,2239
Cortiva Institute-Scottsdale,AZ,,1,1,3,12,-2,-2,0.8832,,,,,,0.500000,,,23400.00,38,150
Pima Community College,AZ,Higher Learning Commission,1,1,1,11,1,5,0.0952,3089,3624,5741,8445,8853,0.255455,0.389971,0.448916,25800.00,1359,6056
Pima Medical Institute-Tucson,AZ,Accrediting Bureau of Health Education Schools,1,1,3,11,10,9,0.7123,,,,,,0.358655,0.530829,0.661552,26700.00,1767,8268
Pima Medical Institute-Albuquerque,NM,Accrediting Bureau of Health Education Schools,0,1,3,11,4,2,0.7128,,,,,,0.358655,0.530829,0.661552,26700.00,1767,8268
Prescott College,AZ,Higher Learning Commission,1,3,2,13,13,7,0.6534,,,,,,0.368421,0.484375,0.626168,25000.00,63,372
Refrigeration School Inc,AZ,Accrediting Commission of Career Schools and Colleges,1,1,3,11,4,2,0.6200,,,,,,0.254606,0.412766,0.573770,35400.00,142,750
Rio Salado College,AZ,Higher Learning Commission,1,1,1,12,1,4,0.1037,6631,7839,6691,8089,10942,0.126455,0.270435,0.354360,31600.00,990,3599
Roberto-Venn School of Luthiery,AZ,Accrediting Commission of Career Schools and Colleges,1,1,3,11,-2,-2,0.4255,,,,,,0.461538,,,25700.00,,
Scottsdale Community College,AZ,Higher Learning Commission,1,2,1,41,1,3,0.1017,7387,8095,10899,11738,12498,0.261792,0.432000,0.535519,31300.00,300,1568
South Mountain Community College,AZ,Higher Learning Commission,1,2,1,11,1,3,0.1294,6525,6594,8636,9954,11241,0.140471,0.244147,0.363636,25800.00,219,1015
Arizona Christian University,AZ,Higher Learning Commission,1,3,2,11,11,7,0.5763,,,,,,0.295455,0.512195,0.604396,32200.00,,
Universal Technical Institute of Arizona Inc,AZ,Accrediting Commission of Career Schools and Colleges,1,2,3,22,4,2,0.6197,,,,,,0.349181,0.498410,0.676223,35000.00,965,10064
Empire Beauty School-NW Phoenix,AZ,National Accrediting Commission of Career Arts and Sciences,0,1,3,11,-2,-2,0.5367,,,,,,0.214516,0.361702,0.452381,15700.00,116,414
Yavapai College,AZ,Higher Learning Commission,1,1,1,13,1,3,0.0836,6303,6888,8502,11676,9461,0.244041,0.452756,0.482759,25400.00,311,1097
University of Arkansas at Little Rock,AR,Higher Learning Commission,1,3,1,12,9,12,0.4050,9633,12452,14110,14777,14869,0.569048,0.619390,0.710821,31200.00,330,2647
University of Arkansas for Medical Sciences,AR,Higher Learning Commission,1,3,1,12,7,10,0.6068,,,,,,0.769481,0.790393,0.832061,57000.00,25,716
Arkansas Baptist College,AR,Higher Learning Commission,1,2,2,12,11,8,0.7555,,,,,,0.275200,,,19300.00,103,441
Arkansas Beauty School-Little Rock,AR,National Accrediting Commission of Career Arts and Sciences,1,1,3,12,-2,-2,0.6227,,,,,,,,,,,
Arkansas Beauty College,AR,Accrediting Commission of Career Schools and Colleges,1,1,3,33,-2,-2,0.6500,,,,,,0.379310,,,,,
Lyon College,AR,Higher Learning Commission,1,3,2,33,14,8,0.5863,,,,,,0.619048,0.750000,0.742424,30400.00,,
Arkansas College of Barbering and Hair Design,AR,Accrediting Commission of Career Schools and Colleges,1,1,3,13,-2,-2,0.6197,,,,,,0.375000,,,14600.00,41,94
Arthur's Beauty College Inc-Fort Smith,AR,National Accrediting Commission of Career Arts and Sciences,1,1,3,13,-2,-2,0.6167,,,,,,,,,,,
University of Arkansas,AR,Higher Learning Commission,1,3,1,13,15,16,0.3739,11447,13273,15399,18653,19346,0.562462,0.656055,0.730856,37100.00,295,3365
University of Arkansas at Pine Bluff,AR,Higher Learning Commission,1,3,1,13,10,11,0.6718,9727,10470,13862,14033,15897,0.333022,0.374723,0.485075,21200.00,130,1341
Arkansas State University-Beebe,AR,Higher Learning Commission,1,1,1,31,2,3,0.1289,6217,7026,9200,11121,11224,0.476998,0.642599,0.704348,24000.00,270,1319
Arkansas State University-Main Campus,AR,Higher Learning Commission,1,3,1,13,9,13,0.5104,11376,11541,13827,16555,16791,0.519020,0.665772,0.732283,27500.00,550,4260
Arkansas Tech University,AR,Higher Learning Commission,1,3,1,33,10,13,0.4117,11077,11225,13426,14878,14943,0.488177,0.698097,0.784345,28900.00,302,2481
University of Arkansas at Monticello,AR,Higher Learning Commission,1,1,1,33,10,10,0.6014,10730,8010,11993,14517,15467,0.431595,0.657754,0.670455,23900.00,271,1289
Arthur's Beauty College Inc-Jacksonville,AR,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.5595,,,,,,0.477477,,,15800.00,45,172
Baptist Health College Little Rock,AR,Accrediting Bureau of Health Education Schools,1,2,2,12,4,2,0.8077,,,,,,0.616715,0.744681,0.752066,47300.00,30,475
Black River Technical College,AR,Higher Learning Commission,1,1,1,41,2,2,0.2072,6024,6415,8465,10124,11616,0.432718,0.535316,0.675676,22500.00,177,926
University of Central Arkansas,AR,Higher Learning Commission,1,3,1,13,13,13,0.5234,13176,13547,15220,16590,17070,0.543568,0.669675,0.729089,29600.00,246,2671
Central Baptist College,AR,Higher Learning Commission,1,3,2,13,11,7,0.6094,,,,,,0.500000,0.640777,0.725000,30000.00,,
Cossatot Community College of the University of Arkansas,AR,Higher Learning Commission,1,1,1,41,1,2,0.0000,4194,5162,6441,7131,,,,,20600.00,100,472
Crowley's Ridge College,AR,Higher Learning Commission,1,3,2,41,10,8,0.7196,,,,,,0.489362,,,24000.00,,
Crowley's Ridge Technical Institute,AR,Council on Occupational Education,1,1,1,32,-2,-2,0.0000,3384,3748,6149,,,,,,16000.00,69,189
East Arkansas Community College,AR,Higher Learning Commission,1,1,1,32,1,2,0.0469,4118,5440,8055,9491,7962,0.327586,,,17900.00,105,506
Eastern College of Health Vocations-Little Rock,AR,Accrediting Bureau of Health Education Schools,1,1,3,12,-2,-2,0.8886,,,,,,0.417349,,,18000.00,169,726
Imagine-Paul Mitchell Partner School,AR,National Accrediting Commission of Career Arts and Sciences,1,1,3,13,-2,-2,0.6989,,,,,,0.429936,0.487395,0.625000,13000.00,,
National Park College,AR,Higher Learning Commission,1,1,1,23,2,2,0.3396,7892,7854,9277,11918,12499,0.423142,0.534884,0.674419,22100.00,254,1137
University of Arkansas Community College-Batesville,AR,Higher Learning Commission,1,1,1,33,2,2,0.1717,6106,7317,8639,12160,12896,0.460526,,,23300.00,182,670
Harding University,AR,Higher Learning Commission,1,3,2,32,14,14,0.5397,,,,,,0.572127,0.697211,0.750359,33400.00,86,1155
Henderson State University,AR,Higher Learning Commission,1,3,1,32,13,11,0.6525,16341,17127,17053,19544,,0.533333,0.643956,0.708155,27000.00,125,1198
Hendrix College,AR,Higher Learning Commission,1,3,2,13,14,11,0.5238,,,,,,0.612903,0.735043,0.785714,29200.00,,
Hot Springs Beauty College,AR,National Accrediting Commission of Career Arts and Sciences,1,1,3,13,-2,-2,0.8511,,,,,,,,,,,
Jefferson Regional Medical Center School of Nursing,AR,Accrediting Bureau of Health Education Schools,1,2,2,13,-2,-2,0.5625,,,,,,,,,,,
John Brown University,AR,Higher Learning Commission,1,3,2,32,15,11,0.4523,,,,,,0.652174,0.789137,0.770492,36900.00,58,686
Career Academy of Hair Design,AR,National Accrediting Commission of Career Arts and Sciences,1,1,3,13,-2,-2,0.7186,,,,,,0.314894,,,14600.00,38,103
Academy of Salon and Spa,AR,National Accrediting Commission of Career Arts and Sciences,1,1,3,13,-2,-2,0.7174,,,,,,0.424658,,,13500.00,39,102
Arkansas State University Mid-South,AR,Higher Learning Commission,1,1,1,21,1,2,0.0000,11285,11368,12308,,,,,,18700.00,146,717
Arkansas Northeastern College,AR,Higher Learning Commission,1,1,1,41,1,2,0.0000,4574,5309,6172,5377,,,,,22100.00,144,675
New Tyler Barber College Inc,AR,Accrediting Commission of Career Schools and Colleges,1,1,3,13,-2,-2,0.3768,,,,,,,,,,,
North Arkansas College,AR,Higher Learning Commission,1,1,1,33,2,2,0.1356,4324,4854,7044,,,0.355469,0.500000,0.666667,23000.00,200,942
Northwest Technical Institute,AR,Council on Occupational Education,1,1,1,13,-2,-2,0.0000,4306,4458,5663,6039,,,,,31800.00,26,140
Ouachita Baptist University,AR,Higher Learning Commission,1,3,2,32,12,11,0.6369,,,,,,0.523256,0.633987,0.741117,30600.00,,
Arkansas State University Three Rivers,AR,Higher Learning Commission,1,1,1,31,1,2,0.1863,7419,8267,9873,11666,12338,0.378378,,,23400.00,84,399
Ozarka College,AR,Higher Learning Commission,1,1,1,43,2,2,0.2277,8203,7555,10439,11446,,0.336552,,,18300.00,193,533
University of the Ozarks,AR,Higher Learning Commission,1,3,2,33,10,8,0.5099,,,,,,0.514286,0.609195,0.651515,25900.00,,
University of Arkansas Community College-Morrilton,AR,Higher Learning Commission,1,1,1,32,2,2,0.2249,4481,4809,7298,8230,9382,0.445135,0.620192,0.731707,24800.00,174,904
Philander Smith College,AR,Higher Learning Commission,1,3,2,12,10,8,0.8474,,,,,,0.390093,,,21400.00,27,220
Phillips Community College of the University of Arkansas,AR,Higher Learning Commission,1,1,1,41,1,2,0.0000,4498,5933,7151,,,,,,18900.00,105,584
Southeast Arkansas College,AR,Higher Learning Commission,1,1,1,13,2,2,0.5065,4771,5343,8434,11274,12149,0.457275,,,20700.00,207,771
Professional Cosmetology Education Center,AR,National Accrediting Commission of Career Arts and Sciences,1,1,3,33,-2,-2,0.7000,,,,,,0.500000,,,,,
University of Arkansas-Pulaski Technical College,AR,Higher Learning Commission,1,2,1,13,2,3,0.4328,10946,11942,12673,13818,14462,0.444487,0.540761,0.593525,22100.00,624,3143
University of Arknsas Hope-Texarkana,AR,Higher Learning Commission,1,1,1,32,2,2,0.0000,7996,8225,7628,,,0.341463,,,21300.00,122,600
University of Arkansas Community College Rich Mountain,AR,Higher Learning Commission,1,1,1,33,1,2,0.0000,5812,5448,7520,9084,,,,,18400.00,90,302
Paul Mitchell the School-Arkansas,AR,National Accrediting Commission of Career Arts and Sciences,1,1,3,13,-2,-2,0.5641,,,,,,0.564516,,,14800.00,,
Searcy Beauty College,AR,National Accrediting Commission of Career Arts and Sciences,1,1,3,32,-2,-2,0.6847,,,,,,0.395833,,,11600.00,,
Shorter College,AR,Transnational Association of Christian Colleges and Schools,1,2,2,13,3,1,0.9827,,,,,,,,,,,
Williams Baptist University,AR,Higher Learning Commission,1,3,2,42,13,8,0.6827,,,,,,0.550000,0.647619,0.627907,28400.00,26,232
South Arkansas Community College,AR,Higher Learning Commission,1,1,1,33,2,2,0.3059,7556,,,,,0.455189,0.520325,0.692308,24500.00,103,598
Southern Arkansas University Main Campus,AR,Higher Learning Commission,1,3,1,33,12,14,0.7603,12362,12969,13875,16290,15925,0.465149,0.595930,0.664634,28200.00,100,921
Southern Arkansas University Tech,AR,Higher Learning Commission,1,1,1,42,2,2,0.1129,10421,14982,16546,,,0.354839,,,24000.00,83,389
Velvatex College of Beauty Culture,AR,National Accrediting Commission of Career Arts and Sciences,1,1,3,12,-2,-2,0.6000,,,,,,,,,,,
University of Arkansas-Fort Smith,AR,Higher Learning Commission,1,3,1,13,11,12,0.3656,9102,10092,11400,13341,13213,0.428571,0.615697,0.718033,28100.00,322,2266
Academy of Art University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,3,11,5,12,0.4586,,,,,,0.234188,0.336408,0.475318,26900.00,926,3929
Academy of Chinese Culture and Health Sciences,CA,Accrediting Commission for Acupuncture and Oriental Medicine,1,4,2,11,0,18,,,,,,,,,,,,
The Academy of Radio and TV Broadcasting,CA,,1,1,3,21,-2,-2,1.0000,,,,,,0.181034,,,25100.00,,
Avalon School of Cosmetology-Alameda,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.5688,,,,,,0.210000,,,19400.00,27,128
